sys_id,number,type,state,approval,risk,impact,priority,category,assignment_group,assigned_to,requested_by,opened_by,business_service,cmdb_ci,short_description,description,justification,implementation_plan,backout_plan,test_plan,start_date,end_date,work_start,work_end,close_code,close_notes,u_environment,u_splunk_notable_event_id,u_splunk_correlation_search,sys_created_on,opened_at,sys_updated_on,vendor,product,vendor_product,dvc,instance,cim_data_model,cim_dataset,tag,action,change_type,object,object_id,object_category,object_type,object_attrs,result,result_id,status,user,src_user,dest,dest_name,severity,ticket_id,ticket_type,ticket_status
75cf0c4a51d3f0ce56ee613d449d87fd,CHG0030011,Normal,Review,Approved,Low,2 - Medium,2 - Medium,Application,Service Desk,Parker Vasquez,Quinn Lewis,Quinn Lewis,Claims Portal,web-claims-p-37,Refresh TLS configuration on web-claims-p-37,Generated demo change for Claims Portal affecting web-claims-p-37.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-23 10:54:57,2026-05-23 13:54:57,,,,,prod,,,2026-05-22 21:54:57,2026-05-22 21:54:57,2026-05-24 16:54:57,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,web-claims-p-37,75cf0c4a51d3f0ce56ee613d449d87fd,Application,change_request,"business_service=Claims Portal,risk=Low,type=Normal",Review,CHG0030011,success,Quinn Lewis,Quinn Lewis,web-claims-p-37,web-claims-p-37,informational,CHG0030011,change_request,Review
fe2b5d7c5234d010d0c5e585c149d082,CHG0030012,Normal,Cancelled,Rejected,Moderate,1 - High,1 - High,Security,Windows Server,Alex Vasquez,Jamie Walker,Jamie Walker,Email and Collaboration,mail-edge-01,Increase database storage for mail-edge-01,Generated demo change for Email and Collaboration affecting mail-edge-01.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-06 03:56:21,2026-05-06 05:56:21,2026-05-06 03:56:21,2026-05-06 05:56:21,Successful with Issues,Change completed and monitoring returned to normal.,dev,,,2026-05-04 19:56:21,2026-05-04 19:56:21,2026-05-06 11:56:21,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,mail-edge-01,fe2b5d7c5234d010d0c5e585c149d082,Security,change_request,"business_service=Email and Collaboration,risk=Moderate,type=Normal",Cancelled,CHG0030012,failure,Jamie Walker,Jamie Walker,mail-edge-01,mail-edge-01,high,CHG0030012,change_request,Cancelled
87b6df328e48dae8f7a0ff61d47e63e7,CHG0030013,Normal,Scheduled,Approved,Low,2 - Medium,2 - Medium,Cloud,Threat Response,Quinn Lewis,Reese Jensen,Reese Jensen,Data Warehouse,app-data-war-22,Tune EDR policy for Data Warehouse,Generated demo change for Data Warehouse affecting app-data-war-22.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-11 19:31:47,2026-05-11 21:31:47,,,,,prod,,,2026-05-10 14:31:47,2026-05-10 14:31:47,2026-05-10 17:31:47,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,created,service_management,app-data-war-22,87b6df328e48dae8f7a0ff61d47e63e7,Cloud,change_request,"business_service=Data Warehouse,risk=Low,type=Normal",Scheduled,CHG0030013,success,Reese Jensen,Reese Jensen,app-data-war-22,app-data-war-22,informational,CHG0030013,change_request,Scheduled
74f98bb055180448b88b1eca654c0a21,CHG0030014,Standard,Closed,Approved,High,1 - High,1 - High,Cloud,Threat Response,Jamie Kim,Parker Carter,Parker Carter,Card Processing,web-card-pro-36,Replace failed disk on web-card-pro-36,Generated demo change for Card Processing affecting web-card-pro-36.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-01 10:39:12,2026-04-01 17:39:12,2026-04-01 10:39:12,2026-04-01 17:39:12,Successful,Change completed and monitoring returned to normal.,prod,,,2026-04-01 05:39:12,2026-04-01 05:39:12,2026-04-01 23:39:12,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,web-card-pro-36,74f98bb055180448b88b1eca654c0a21,Cloud,change_request,"business_service=Card Processing,risk=High,type=Standard",Closed,CHG0030014,success,Parker Carter,Parker Carter,web-card-pro-36,web-card-pro-36,high,CHG0030014,change_request,Closed
c15923d33177f88f72023261dc768b2f,CHG0030015,Normal,Closed,Approved,Moderate,3 - Low,3 - Low,Software,Windows Server,Drew Foster,Sydney Jensen,Sydney Jensen,Email and Collaboration,mail-edge-01,Update firewall policy for Email and Collaboration,Generated demo change for Email and Collaboration affecting mail-edge-01.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-03-07 09:30:32,2026-03-07 10:30:32,2026-03-07 09:30:32,2026-03-07 10:30:32,Unsuccessful,Change completed and monitoring returned to normal.,dev,,,2026-03-06 05:30:32,2026-03-06 05:30:32,2026-03-07 16:30:32,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,mail-edge-01,c15923d33177f88f72023261dc768b2f,Software,change_request,"business_service=Email and Collaboration,risk=Moderate,type=Normal",Closed,CHG0030015,failure,Sydney Jensen,Sydney Jensen,mail-edge-01,mail-edge-01,low,CHG0030015,change_request,Closed
5cca55719810c316fbef94f1b2f03432,CHG0030016,Normal,Closed,Approved,High,1 - High,1 - High,Network,Cloud Platform,Jordan Lewis,Jamie Walker,Jamie Walker,Corporate VPN,app-corporat-07,Refresh TLS configuration on app-corporat-07,Generated demo change for Corporate VPN affecting app-corporat-07.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-18 06:34:43,2026-04-18 10:34:43,2026-04-18 06:34:43,2026-04-18 10:34:43,Successful,Change completed and monitoring returned to normal.,prod,,,2026-04-16 19:34:43,2026-04-16 19:34:43,2026-04-18 16:34:43,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,app-corporat-07,5cca55719810c316fbef94f1b2f03432,Network,change_request,"business_service=Corporate VPN,risk=High,type=Normal",Closed,CHG0030016,success,Jamie Walker,Jamie Walker,app-corporat-07,app-corporat-07,high,CHG0030016,change_request,Closed
ffe7046a349cd1049edf1d3906f8a263,CHG0030017,Normal,Implement,Approved,Moderate,1 - High,1 - High,Application,Identity and Access,Kai Turner,Hayden Vasquez,Hayden Vasquez,Customer Identity,idp-prd-01,Refresh TLS configuration on idp-prd-01,Generated demo change for Customer Identity affecting idp-prd-01.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-15 15:53:56,2026-05-15 21:53:56,,,,,prod,,,2026-05-14 08:53:56,2026-05-14 08:53:56,2026-05-16 06:53:56,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,idp-prd-01,ffe7046a349cd1049edf1d3906f8a263,Application,change_request,"business_service=Customer Identity,risk=Moderate,type=Normal",Implement,CHG0030017,success,Hayden Vasquez,Hayden Vasquez,idp-prd-01,idp-prd-01,high,CHG0030017,change_request,Implement
fcabeec6e09b8f034d47c21c976d2db4,CHG0030018,Normal,Closed,Approved,Low,1 - High,1 - High,Security,Application Support,Avery Reed,Alex Patel,Alex Patel,Data Warehouse,web-data-war-14,Replace failed disk on web-data-war-14,Generated demo change for Data Warehouse affecting web-data-war-14.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-03-16 12:58:45,2026-03-16 17:58:45,2026-03-16 12:58:45,2026-03-16 17:58:45,Unsuccessful,Change completed and monitoring returned to normal.,prod,,,2026-03-16 05:58:45,2026-03-16 05:58:45,2026-03-17 01:58:45,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,web-data-war-14,fcabeec6e09b8f034d47c21c976d2db4,Security,change_request,"business_service=Data Warehouse,risk=Low,type=Normal",Closed,CHG0030018,failure,Alex Patel,Alex Patel,web-data-war-14,web-data-war-14,high,CHG0030018,change_request,Closed
c8cf8f27fd816df712230365b8604601,CHG0030019,Normal,Closed,Approved,Low,2 - Medium,2 - Medium,Software,Identity and Access,Kai Turner,Quinn Walker,Quinn Walker,Customer Identity,job-customer-25,Replace failed disk on job-customer-25,Generated demo change for Customer Identity affecting job-customer-25.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-26 02:51:46,2026-04-26 07:51:46,2026-04-26 02:51:46,2026-04-26 07:51:46,Successful with Issues,Change completed and monitoring returned to normal.,prod,,,2026-04-24 02:51:46,2026-04-24 02:51:46,2026-04-26 19:51:46,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,job-customer-25,c8cf8f27fd816df712230365b8604601,Software,change_request,"business_service=Customer Identity,risk=Low,type=Normal",Closed,CHG0030019,success,Quinn Walker,Quinn Walker,job-customer-25,job-customer-25,informational,CHG0030019,change_request,Closed
1716d769abdd8181058a0d405b9cac00,CHG0030020,Normal,Scheduled,Approved,Low,3 - Low,3 - Low,Cloud,Endpoint Engineering,Alex Vasquez,Kai Turner,Kai Turner,Manufacturing MES,web-manufact-01,Tune EDR policy for Manufacturing MES,Generated demo change for Manufacturing MES affecting web-manufact-01.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-03-03 23:10:18,2026-03-04 02:10:18,,,,,prod,,,2026-03-02 14:10:18,2026-03-02 14:10:18,2026-03-04 00:10:18,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,created,service_management,web-manufact-01,1716d769abdd8181058a0d405b9cac00,Cloud,change_request,"business_service=Manufacturing MES,risk=Low,type=Normal",Scheduled,CHG0030020,success,Kai Turner,Kai Turner,web-manufact-01,web-manufact-01,low,CHG0030020,change_request,Scheduled
be70900dd27c94a96ccdc664ab22fd13,CHG0030021,Normal,Scheduled,Approved,Low,1 - High,1 - High,Database,Service Desk,Drew Patel,Reese Carter,Reese Carter,Email and Collaboration,app-email-an-28,Tune EDR policy for Email and Collaboration,Generated demo change for Email and Collaboration affecting app-email-an-28.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-04-20 23:50:22,2026-04-21 03:50:22,,,,,prod,,,2026-04-20 15:50:22,2026-04-20 15:50:22,2026-04-20 23:50:22,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,created,service_management,app-email-an-28,be70900dd27c94a96ccdc664ab22fd13,Database,change_request,"business_service=Email and Collaboration,risk=Low,type=Normal",Scheduled,CHG0030021,success,Reese Carter,Reese Carter,app-email-an-28,app-email-an-28,high,CHG0030021,change_request,Scheduled
31302db420a1edc1ac480a9f274537e6,CHG0030022,Normal,Closed,Approved,Moderate,2 - Medium,2 - Medium,Security,Identity and Access,Harper Foster,Emerson Ibrahim,Emerson Ibrahim,Corporate VPN,lt-corporat-33,Update firewall policy for Corporate VPN,Generated demo change for Corporate VPN affecting lt-corporat-33.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-12 22:25:04,2026-05-13 03:25:04,2026-05-12 22:25:04,2026-05-13 03:25:04,Unsuccessful,Change completed and monitoring returned to normal.,prod,,,2026-05-12 01:25:04,2026-05-12 01:25:04,2026-05-13 13:25:04,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,lt-corporat-33,31302db420a1edc1ac480a9f274537e6,Security,change_request,"business_service=Corporate VPN,risk=Moderate,type=Normal",Closed,CHG0030022,failure,Emerson Ibrahim,Emerson Ibrahim,lt-corporat-33,lt-corporat-33,informational,CHG0030022,change_request,Closed
7fad88bdd492dd24822989fdc7b330df,CHG0030023,Normal,Closed,Approved,Moderate,3 - Low,3 - Low,Security,Application Support,Cameron Ibrahim,Riley Jensen,Riley Jensen,Online Banking,web-online-b-24,Update firewall policy for Online Banking,Generated demo change for Online Banking affecting web-online-b-24.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-05-02 18:15:19,2026-05-02 23:15:19,2026-05-02 18:15:19,2026-05-02 23:15:19,Successful with Issues,Change completed and monitoring returned to normal.,prod,,,2026-04-30 02:15:19,2026-04-30 02:15:19,2026-05-03 04:15:19,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,updated,service_management,web-online-b-24,7fad88bdd492dd24822989fdc7b330df,Security,change_request,"business_service=Online Banking,risk=Moderate,type=Normal",Closed,CHG0030023,success,Riley Jensen,Riley Jensen,web-online-b-24,web-online-b-24,low,CHG0030023,change_request,Closed
6565defcca3531825f900a690b7d7584,CHG0030024,Normal,Scheduled,Approved,Low,1 - High,1 - High,Network,Threat Response,Harper Bennett,Taylor Morris,Taylor Morris,Data Warehouse,app-data-war-22,Modify load balancer pool for Data Warehouse,Generated demo change for Data Warehouse affecting app-data-war-22.,Demo change record created to support Splunk Enterprise Security storytelling.,"Validate pre-checks, implement approved change, monitor service health, and document results.",Restore previous configuration or package version and notify the service owner.,"Confirm service availability, authentication flow, and alert telemetry after implementation.",2026-03-15 06:15:27,2026-03-15 08:15:27,,,,,prod,,,2026-03-12 06:15:27,2026-03-12 06:15:27,2026-03-13 19:15:27,ServiceNow,IT Service Management,ServiceNow IT Service Management,synthetic-servicenow,synthetic-demo,Change,All_Changes,change,created,service_management,app-data-war-22,6565defcca3531825f900a690b7d7584,Network,change_request,"business_service=Data Warehouse,risk=Low,type=Normal",Scheduled,CHG0030024,success,Taylor Morris,Taylor Morris,app-data-war-22,app-data-war-22,high,CHG0030024,change_request,Scheduled
